year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,Run_Number
2022,0.0927369716865,1.048420190811,0.0,6.676712328767,0.25,0.446021629973,0
2023,0.01136363636364,0.0,0.0,9.402739726027,0.25,0.06222101988367,0
2024,0.0,0.0,0.0,7.246575342466,0.25,0.004272696011004,0
2022,0.3729159460394,1.792805209756,0.126253888011,79.20547945205,2.0,0.446021629973,0
2023,0.01726288479768,0.1638976223767,0.0,54.91232876712,2.0,0.06222101988367,0
2024,0.0005798502053636,0.01763711124659,0.0,56.69863013699,2.0,0.004272696011004,0
2022,0.4415053229105,1.883564894088,0.02790466509759,143.3452054795,5.0,0.446021629973,0
2023,0.03936993091018,0.2672536801547,0.0,145.9287671233,5.0,0.06222101988367,0
2024,0.002148632185181,0.02425517700613,0.0,123.6849315068,5.0,0.004272696011004,0
2022,0.4493057775431,1.897263416089,0.01521869050339,197.1260273973,10.0,0.446021629973,0
2023,0.07902840493254,0.3427372071892,0.0,198.402739726,10.0,0.06222101988367,0
2024,0.00561995082543,0.04102564230561,0.0,195.0,10.0,0.004272696011004,0
2022,0.5107641391965,2.14684771467,0.005980077199638,167.2219178082,15.0,0.446021629973,0
2023,0.1214412955466,0.6383805647492,0.005910931155086,169.1780821918,15.0,0.06222101988367,0
2024,0.006992779548559,0.06529304478317,0.0,168.4712328767,15.0,0.004272696011004,0
2022,0.5409722377575,2.131160287187,0.01633073017001,122.4684931507,20.0,0.446021629973,0
2023,0.179621267969,0.7988158939406,0.0,118.9260273973,20.0,0.06222101988367,0
2024,0.01109564190187,0.06929502496496,0.0,129.8794520548,20.0,0.004272696011004,0
2022,0.5406412571212,2.059826152865,0.01354158902541,664.6191780822,100.0,0.446021629973,0
2023,0.1846351324283,0.8296031076461,0.002984183840454,670.2,100.0,0.06222101988367,0
2024,0.01401198789668,0.09028024272993,0.0,664.597260274,100.0,0.004272696011004,0
