year,PfPR,Cases,Severe cases,Pop,agebin,pfpr2to10,Run_Number
2022,0.02076620121733,0.7841031253338,0.0,7.652054794521,0.25,0.2577510026794,0
2023,0.0,0.0,0.0,4.731506849315,0.25,0.03153016196494,0
2024,0.0,0.0,0.0,7.816438356164,0.25,0.0,0
2022,0.1049932262435,1.36571829021,0.0,84.93698630137,2.0,0.2577510026794,0
2023,0.01236063984489,0.08846340700984,0.0,56.52054794521,2.0,0.03153016196494,0
2024,0.0,0.0,0.0,37.41369863014,2.0,0.0,0
2022,0.1871809415769,1.915059617255,0.01478810515255,135.2438356164,5.0,0.2577510026794,0
2023,0.0176507711119,0.1511655463837,0.0,138.9205479452,5.0,0.03153016196494,0
2024,0.0,0.0,0.0,127.7123287671,5.0,0.0,0
2022,0.3069449543876,2.236987022683,0.005154347978532,194.0109589041,10.0,0.2577510026794,0
2023,0.04144420809444,0.2210968108848,0.0,194.4849315068,10.0,0.03153016196494,0
2024,0.0,0.0,0.0,201.8438356164,10.0,0.0,0
2022,0.3310296948468,2.459134093951,0.02879548119381,173.6383561644,15.0,0.2577510026794,0
2023,0.06905686749338,0.2728794543073,0.0,168.5726027397,15.0,0.03153016196494,0
2024,0.00043846572075,0.0,0.0,156.2109589041,15.0,0.0,0
2022,0.3756009615385,2.554377282504,0.01415167469531,141.3260273973,20.0,0.2577510026794,0
2023,0.08588050604857,0.3640225427225,0.0,148.3424657534,20.0,0.03153016196494,0
2024,0.0004028444319894,0.0,0.0,156.4219178082,20.0,0.0,0
2022,0.3989186736739,2.534626355628,0.01073344494216,652.1671232877,100.0,0.2577510026794,0
2023,0.1195221785983,0.4771739917342,0.0,655.9452054795,100.0,0.03153016196494,0
2024,0.0009262783910671,0.0,0.0,647.7534246575,100.0,0.0,0
